,Year,State Code,Region,White Convicted,Other Convicted,Executions,Executions Scaled,State
479,1979,IN,Midwest,0,0,0,0.0,Indiana
480,1979,IA,Midwest,0,0,0,0.0,Iowa
481,1979,KS,Midwest,0,0,0,0.0,Kansas
482,1979,KY,South,0,0,0,0.0,Kentucky
483,1979,LA,South,0,0,0,0.0,Louisiana
484,1979,ME,Northeast,0,0,0,0.0,Maine
485,1979,MD,South,0,0,0,0.0,Maryland
486,1979,MA,Northeast,0,0,0,0.0,Massachusetts
487,1979,MI,Midwest,0,0,0,0.0,Michigan
488,1979,MN,Midwest,0,0,0,0.0,Minnesota
489,1979,MS,South,0,0,0,0.0,Mississippi
